user_id,age,gender,occupation,zip_code,age_group
1,24,M,technician,85711,18-24
2,53,F,other,94043,50-64
3,23,M,writer,32067,18-24
4,24,M,technician,43537,18-24
5,33,F,other,15213,25-34
6,42,M,executive,98101,35-49
7,57,M,administrator,91344,50-64
8,36,M,administrator,05201,35-49
9,29,M,student,01002,25-34
10,53,M,lawyer,90703,50-64
11,39,F,other,30329,35-49
12,28,F,other,06405,25-34
13,47,M,educator,29206,35-49
14,45,M,scientist,55106,35-49
15,49,F,educator,97301,35-49
16,21,M,entertainment,10309,18-24
17,30,M,programmer,06355,25-34
18,35,F,other,37212,35-49
19,40,M,librarian,02138,35-49
20,42,F,homemaker,95660,35-49
21,26,M,writer,30068,25-34
22,25,M,writer,40206,25-34
23,30,F,artist,48197,25-34
24,21,F,artist,94533,18-24
25,39,M,engineer,55107,35-49
26,49,M,engineer,21044,35-49
27,40,F,librarian,30030,35-49
28,32,M,writer,55369,25-34
29,41,M,programmer,94043,35-49
30,7,M,student,55436,Under 18
31,24,M,artist,10003,18-24
32,28,F,student,78741,25-34
33,23,M,student,27510,18-24
34,38,F,administrator,42141,35-49
35,20,F,homemaker,42459,18-24
36,19,F,student,93117,18-24
37,23,M,student,55105,18-24
38,28,F,other,54467,25-34
39,41,M,entertainment,01040,35-49
40,38,M,scientist,27514,35-49
41,33,M,engineer,80525,25-34
42,30,M,administrator,17870,25-34
43,29,F,librarian,20854,25-34
44,26,M,technician,46260,25-34
45,29,M,programmer,50233,25-34
46,27,F,marketing,46538,25-34
47,53,M,marketing,07102,50-64
48,45,M,administrator,12550,35-49
49,23,F,student,76111,18-24
50,21,M,writer,52245,18-24
51,28,M,educator,16509,25-34
52,18,F,student,55105,18-24
53,26,M,programmer,55414,25-34
54,22,M,executive,66315,18-24
55,37,M,programmer,01331,35-49
56,25,M,librarian,46260,25-34
57,16,M,none,84010,Under 18
58,27,M,programmer,52246,25-34
59,49,M,educator,08403,35-49
60,50,M,healthcare,06472,50-64
61,36,M,engineer,30040,35-49
62,27,F,administrator,97214,25-34
63,31,M,marketing,75240,25-34
64,32,M,educator,43202,25-34
65,51,F,educator,48118,50-64
66,23,M,student,80521,18-24
67,17,M,student,60402,Under 18
68,19,M,student,22904,18-24
69,24,M,engineer,55337,18-24
70,27,M,engineer,60067,25-34
71,39,M,scientist,98034,35-49
72,48,F,administrator,73034,35-49
73,24,M,student,41850,18-24
74,39,M,scientist,T8H1N,35-49
75,24,M,entertainment,08816,18-24
76,20,M,student,02215,18-24
77,30,M,technician,29379,25-34
78,26,M,administrator,61801,25-34
79,39,F,administrator,03755,35-49
80,34,F,administrator,52241,25-34
81,21,M,student,21218,18-24
82,50,M,programmer,22902,50-64
83,40,M,other,44133,35-49
84,32,M,executive,55369,25-34
85,51,M,educator,20003,50-64
86,26,M,administrator,46005,25-34
87,47,M,administrator,89503,35-49
88,49,F,librarian,11701,35-49
89,43,F,administrator,68106,35-49
90,60,M,educator,78155,50-64
91,55,M,marketing,01913,50-64
92,32,M,entertainment,80525,25-34
93,48,M,executive,23112,35-49
94,26,M,student,71457,25-34
95,31,M,administrator,10707,25-34
96,25,F,artist,75206,25-34
97,43,M,artist,98006,35-49
98,49,F,executive,90291,35-49
99,20,M,student,63129,18-24
100,36,M,executive,90254,35-49
101,15,M,student,05146,Under 18
102,38,M,programmer,30220,35-49
103,26,M,student,55108,25-34
104,27,M,student,55108,25-34
105,24,M,engineer,94043,18-24
106,61,M,retired,55125,50-64
107,39,M,scientist,60466,35-49
108,44,M,educator,63130,35-49
109,29,M,other,55423,25-34
110,19,M,student,77840,18-24
111,57,M,engineer,90630,50-64
112,30,M,salesman,60613,25-34
113,47,M,executive,95032,35-49
114,27,M,programmer,75013,25-34
115,31,M,engineer,17110,25-34
116,40,M,healthcare,97232,35-49
117,20,M,student,16125,18-24
118,21,M,administrator,90210,18-24
119,32,M,programmer,67401,25-34
120,47,F,other,06260,35-49
121,54,M,librarian,99603,50-64
122,32,F,writer,22206,25-34
123,48,F,artist,20008,35-49
124,34,M,student,60615,25-34
125,30,M,lawyer,22202,25-34
126,28,F,lawyer,20015,25-34
127,33,M,none,73439,25-34
128,24,F,marketing,20009,18-24
129,36,F,marketing,07039,35-49
130,20,M,none,60115,18-24
131,59,F,administrator,15237,50-64
132,24,M,other,94612,18-24
133,53,M,engineer,78602,50-64
134,31,M,programmer,80236,25-34
135,23,M,student,38401,18-24
136,51,M,other,97365,50-64
137,50,M,educator,84408,50-64
138,46,M,doctor,53211,35-49
139,20,M,student,08904,18-24
